INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.,,,,,,
Tested and provided by,Ed Everett,,,,,,
Execution date/time, 2025/02/08 18:12:51,,,,,,
AlgTestJClient version, 1.8.2,,,,,,
AlgTest applet version, 1.8.2_jc304,,,,,,
Used reader, ACS ACR39U ICC Reader 00 00,,,,,,
Card ATR, 3b 69 00 02 41 43 4f 53 4a 76 32 30 37,,,,,,
Card name, ACS ACOSJ-G 95K v2.0.7 Combi,,,,,,
Card provider,https://www.smartcardfocus.com/shop/ilp/id~862/acosj-dual-interface-java-card-95k/p/index.shtml,,,,,,
Used protocol, T=0,,,,,,
High-power mode supported (relevant only to SIM cards according to ETSI 102 221), no,,,,,,
,,,,,,,
JCSystem.getVersion()[Major.Minor],3,,,,,,
JCSystem.isObjectDeletionSupported,yes,,,,,,
JCSystem.MEMORY_TYPE_PERSISTENT,75686B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_RESET,1356B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT,2496B,,,,,,
,,,,,,,
JCSystem.getMaxCommitCapacity(),7104B,,,,,,
APDU.getInBlockSize(),1B,,,,,,
APDU.getOutBlockSize(),258B,,,,,,
APDU.getProtocol(),0B,,,,,,
APDU.getNAD(),0B,,,,,,
CPLC, failed to obtain CPLC,,,,,,
GPDATA (Card data), 66 4c 73 4a 06 07 2a 86 48 86 fc 6b 01 60 0c 06 0a 2a 86 48 86 fc 6b 02 02 02 01 63 09 06 07 2a 86 48 86 fc 6b 03 64 0b 06 09 2a 86 48 86 fc 6b 04 02 55 65 0b 06 09 2a 86 48 86 fc 6b 02 01 03 66 0c 06 0a 2b 06 01 04 01 2a 02 6e 01 03,,,,,,
,,,,,,,
algorithm_name, is_supported, time_elapsed, persistent_mem_allocated, ram_deselect_allocated, ram_reset_allocated,,
,,,,,,,
ALG_RSA LENGTH_RSA_512,no,,,0.105,11,0,0
ALG_RSA LENGTH_RSA_736,yes,,,3.366,453,0,0
ALG_RSA LENGTH_RSA_768,yes,,,2.159,469,0,0
ALG_RSA LENGTH_RSA_896,yes,,,3.623,533,0,0
ALG_RSA LENGTH_RSA_1024,yes,,,4.637,597,0,0
ALG_RSA LENGTH_RSA_1280,yes,,,4.389,725,0,0
ALG_RSA LENGTH_RSA_1536,yes,,,4.49,853,0,0
ALG_RSA LENGTH_RSA_1984,yes,,,17.146,1077,0,0
ALG_RSA LENGTH_RSA_2048,yes,,,14.753,1109,0,0
ALG_RSA LENGTH_RSA_3072,no,,,0.171,28,0,0
ALG_RSA LENGTH_RSA_4096,error(ILLEGAL_USE),,,0,117,0,0
,,,,,,,
javacard.security.KeyPair ALG_RSA_CRT on-card generation,,,,,,,
ALG_RSA_CRT LENGTH_RSA_512,yes,,,1.692,479,0,0
ALG_RSA_CRT LENGTH_RSA_736,yes,,,4.126,633,0,0
ALG_RSA_CRT LENGTH_RSA_768,yes,,,1.883,655,0,0
ALG_RSA_CRT LENGTH_RSA_896,yes,,,2.754,743,0,0
ALG_RSA_CRT LENGTH_RSA_1024,yes,,,2.524,831,0,0
ALG_RSA_CRT LENGTH_RSA_1280,yes,,,3.284,1007,0,0
ALG_RSA_CRT LENGTH_RSA_1536,yes,,,8.642,1183,0,0
ALG_RSA_CRT LENGTH_RSA_1984,yes,,,9.877,1491,0,0
ALG_RSA_CRT LENGTH_RSA_2048,yes,,,6.63,1535,0,0
ALG_RSA_CRT LENGTH_RSA_3072,no,,,0.171,28,0,0
ALG_RSA_CRT LENGTH_RSA_4096,error(ILLEGAL_USE),,,0,171,0,0
,,,,,,,
javacard.security.KeyPair ALG_DSA on-card generation,,,,,,,
ALG_DSA LENGTH_DSA_512,no,,,0.115,11,0,0
ALG_DSA LENGTH_DSA_768,no,,,0.111,11,0,0
ALG_DSA LENGTH_DSA_1024,no,,,0.103,11,0,0
,,,,,,,
javacard.security.KeyPair ALG_EC_F2M on-card generation,,,,,,,
ALG_EC_F2M LENGTH_EC_F2M_113,no,,,0.104,11,0,0
ALG_EC_F2M LENGTH_EC_F2M_131,no,,,0.105,11,0,0
ALG_EC_F2M LENGTH_EC_F2M_163,no,,,0.104,11,0,0
ALG_EC_F2M LENGTH_EC_F2M_193,no,,,0.11,11,0,0
,,,,,,,
javacard.security.KeyPair ALG_EC_FP on-card generation,,,,,,,
ALG_EC_FP LENGTH_EC_FP_112,yes,,,1.211,391,0,0
ALG_EC_FP LENGTH_EC_FP_128,yes,,,1.301,421,0,0
ALG_EC_FP LENGTH_EC_FP_160,yes,,,1.373,481,0,0
ALG_EC_FP LENGTH_EC_FP_192,yes,,,1.311,541,0,0
ALG_EC_FP LENGTH_EC_FP_224,yes,,,1.4,601,0,0
ALG_EC_FP LENGTH_EC_FP_256,yes,,,1.376,661,0,0
ALG_EC_FP LENGTH_EC_FP_384,yes,,,1.504,901,0,0
ALG_EC_FP LENGTH_EC_FP_521,no,,,0.23,93,0,0
,,,,,,,
javacardx.crypto.AEADCipher,,,,,,,
CIPHER_AES_CCM,no,,,0.058,0,0,0
CIPHER_AES_GCM,no,,,0.058,0,0,0
,,,,,,,
javacard.framework.OwnerPINBuilder,,,,,,,
OWNER_PIN,no,,,0.059,0,0,0
OWNER_PIN_X,no,,,0.058,0,0,0
OWNER_PIN_X_WITH_PREDECREMENT,no,,,0.059,0,0,0
,,,,,,,
javacard.security.InitializedMessageDigest,,,,,,,
ALG_SHA,no,,,0.059,0,0,0
ALG_MD5,no,,,0.061,0,0,0
ALG_RIPEMD160,no,,,0.059,0,0,0
ALG_SHA_256,no,,,0.062,0,0,0
ALG_SHA_384,no,,,0.059,0,0,0
ALG_SHA_512,no,,,0.061,0,0,0
ALG_SHA_224,no,,,0.059,0,0,0
ALG_SHA3_224,no,,,0.062,0,0,0
ALG_SHA3_256,no,,,0.058,0,0,0
ALG_SHA3_384,no,,,0.061,0,0,0
ALG_SHA3_512,no,,,0.059,0,0,0
ALG_SM3,no,,,0.061,0,0,0
ALG_NULL,no,,,0.059,0,0,0
,,,,,,,
javacardx.crypto.Cipher.OneShot,,,,,,,
ALG_DES_CBC_NOPAD,no,,,0.058,0,0,0
ALG_DES_CBC_ISO9797_M1,no,,,0.055,0,0,0
ALG_DES_CBC_ISO9797_M2,no,,,0.058,0,0,0
ALG_DES_CBC_PKCS5,no,,,0.056,0,0,0
ALG_DES_ECB_NOPAD,no,,,0.058,0,0,0
ALG_DES_ECB_ISO9797_M1,no,,,0.055,0,0,0
ALG_DES_ECB_ISO9797_M2,no,,,0.058,0,0,0
ALG_DES_ECB_PKCS5,no,,,0.055,0,0,0
ALG_RSA_ISO14888,no,,,0.058,0,0,0
ALG_RSA_PKCS1,no,,,0.055,0,0,0
ALG_RSA_ISO9796,no,,,0.057,0,0,0
ALG_RSA_NOPAD,no,,,0.055,0,0,0
ALG_AES_BLOCK_128_CBC_NOPAD,no,,,0.059,0,0,0
ALG_AES_BLOCK_128_ECB_NOPAD,no,,,0.055,0,0,0
ALG_RSA_PKCS1_OAEP,no,,,0.058,0,0,0
ALG_KOREAN_SEED_ECB_NOPAD,no,,,0.055,0,0,0
ALG_KOREAN_SEED_CBC_NOPAD,no,,,0.059,0,0,0
